EGID,BFS_NR,GDEHISTID,BFS_GEMEINDE,ESID,STRNAMK1_HPT,STRNAMK1,DEINR,DEINR_ZUS_HPT,GBEZ,PLZ,PLZZ,PLZNAME,EGRID,PRZNUMMER,GBPER_CODE,LTYP,LTYP_TXT,GEBNR,E_COORD,N_COORD,EDID,EGAID,DOFFADR,DKODE,DKODN,GSTAT,GSTAT_TXT,GKAT,GKAT_TXT,GKLAS,GKLAS_TXT,GBAUJ,GBAUM,GBAUP,GBAUP_TXT,GABBJ,GAREA,GVOL,GVOLNORM,GVOLNORM_TXT,GTERRA,GASTW,GANZWHG,GAZZI,GSCHUTZR,GEBF,GENH1,GENH1_TXT,GWAERSH1,GWAERSH1_TXT,GWAERZH1,GWAERZH1_TXT,GWAERDATH1,GENH2,GENH2_TXT,GWAERSH2,GWAERSH2_TXT,GWAERZH2,GWAERZH2_TXT,GWAERDATH2,GENW1,GENW1_TXT,GWAERSW1,GWAERSW1_TXT,GWAERZW1,GWAERZW1_TXT,GWAERDATW1,GENW2,GENW2_TXT,GWAERSW2,GWAERSW2_TXT,GWAERZW2,GWAERZW2_TXT,GWAERDATW2,KOORD_ORIGIN,DAT_VERARB
208349,1061.0,15600.0,Luzern,10014627.0,Bennenegg,Bennenegg,22,,,6014,0,Luzern,CH627014503552,1403.0,210.0,,,210.1007,2662131.385,1211168.532,0,100216487.0,1.0,2662128.701,1211173.249,1004,bestehend,1020.0,Mit Wohnnutzung,1122.0,Gebäude mit 3+ Whgen,1972.0,,8015.0,1971-1980,,203.0,,,,0.0,5.0,8.0,,1.0,,7511.0,Erdwärmesonde,864.0,Kantonale Daten/Gebäudeprogramm,7410.0,Wärmepumpe für ein Geb.,2024-06-04 00:00:00+00:00,,,,,,,,7511.0,Erdwärmesonde,864.0,Kantonale Daten/Gebäudeprogramm,7610.0,Wärmepumpe,2024-06-04 00:00:00+00:00,7500.0,Keine,860.0,Gemäss Volkszählung 2000,7600.0,Kein Wärmeerzeuger,2001-11-29 00:00:00+00:00,Gebäude,2026-08-11 00:00:00+00:00
208350,1061.0,15600.0,Luzern,10014627.0,Bennenegg,Bennenegg,24,,,6014,0,Luzern,CH627014503552,1403.0,210.0,,,210.1008,2662116.753,1211157.975,0,100216488.0,1.0,2662114.365,1211162.915,1004,bestehend,1020.0,Mit Wohnnutzung,1122.0,Gebäude mit 3+ Whgen,1972.0,,8015.0,1971-1980,,214.0,,,,0.0,5.0,8.0,,1.0,,7511.0,Erdwärmesonde,864.0,Kantonale Daten/Gebäudeprogramm,7411.0,Wärmepumpe für mehr. Geb.,2024-06-04 00:00:00+00:00,,,,,,,,7511.0,Erdwärmesonde,864.0,Kantonale Daten/Gebäudeprogramm,7610.0,Wärmepumpe,2024-06-04 00:00:00+00:00,7500.0,Keine,860.0,Gemäss Volkszählung 2000,7600.0,Kein Wärmeerzeuger,2001-11-29 00:00:00+00:00,Gebäude,2026-08-11 00:00:00+00:00
208351,1061.0,15600.0,Luzern,10014627.0,Bennenegg,Bennenegg,26,,,6014,0,Luzern,CH627014503552,1403.0,210.0,,,210.1009,2662097.873,1211130.755,0,100216489.0,1.0,2662103.008,1211132.893,1004,bestehend,1020.0,Mit Wohnnutzung,1122.0,Gebäude mit 3+ Whgen,1972.0,,8015.0,1971-1980,,209.0,,,,0.0,5.0,8.0,,1.0,,7511.0,Erdwärmesonde,864.0,Kantonale Daten/Gebäudeprogramm,7411.0,Wärmepumpe für mehr. Geb.,2024-06-04 00:00:00+00:00,,,,,,,,7511.0,Erdwärmesonde,864.0,Kantonale Daten/Gebäudeprogramm,7610.0,Wärmepumpe,2024-06-04 00:00:00+00:00,7500.0,Keine,860.0,Gemäss Volkszählung 2000,7600.0,Kein Wärmeerzeuger,2001-11-29 00:00:00+00:00,Gebäude,2026-08-11 00:00:00+00:00
208352,1061.0,15600.0,Luzern,10014627.0,Bennenegg,Bennenegg,28,,,6014,0,Luzern,CH627014503552,1403.0,210.0,,,210.1010,2662108.668,1211116.265,0,100216490.0,1.0,2662113.538,1211118.76,1004,bestehend,1020.0,Mit Wohnnutzung,1122.0,Gebäude mit 3+ Whgen,1972.0,,8015.0,1971-1980,,208.0,,,,0.0,5.0,8.0,,1.0,,7511.0,Erdwärmesonde,864.0,Kantonale Daten/Gebäudeprogramm,7410.0,Wärmepumpe für ein Geb.,2024-06-04 00:00:00+00:00,,,,,,,,7511.0,Erdwärmesonde,864.0,Kantonale Daten/Gebäudeprogramm,7610.0,Wärmepumpe,2024-06-04 00:00:00+00:00,7500.0,Keine,860.0,Gemäss Volkszählung 2000,7600.0,Kein Wärmeerzeuger,2001-11-29 00:00:00+00:00,Gebäude,2026-08-11 00:00:00+00:00
208353,1061.0,15600.0,Luzern,10014627.0,Bennenegg,Bennenegg,30,,,6014,0,Luzern,CH627014503552,1403.0,210.0,,,210.1011,2662065.856,1211121.337,0,100216491.0,1.0,2662061.807,1211125.074,1004,bestehend,1020.0,Mit Wohnnutzung,1122.0,Gebäude mit 3+ Whgen,1972.0,,8015.0,1971-1980,,208.0,,,,0.0,5.0,8.0,,1.0,,7530.0,Heizöl,864.0,Kantonale Daten/Gebäudeprogramm,7435.0,Heizkessel konde. für mehr. Geb.,2018-11-08 00:00:00+00:00,,,,,,,,7530.0,Heizöl,864.0,Kantonale Daten/Gebäudeprogramm,7630.0,Heizkessel (generisch),2018-11-08 00:00:00+00:00,7500.0,Keine,860.0,Gemäss Volkszählung 2000,7600.0,Kein Wärmeerzeuger,2001-11-29 00:00:00+00:00,Gebäude,2026-08-11 00:00:00+00:00
208354,1061.0,15600.0,Luzern,10014627.0,Bennenegg,Bennenegg,32,,,6014,0,Luzern,CH627014503552,1403.0,210.0,,,210.1012,2662051.229,1211110.75,0,100216492.0,1.0,2662047.914,1211115.025,1004,bestehend,1020.0,Mit Wohnnutzung,1122.0,Gebäude mit 3+ Whgen,1971.0,,8015.0,1971-1980,,209.0,,,,0.0,5.0,8.0,,1.0,,7530.0,Heizöl,864.0,Kantonale Daten/Gebäudeprogramm,7435.0,Heizkessel konde. für mehr. Geb.,2024-06-04 00:00:00+00:00,,,,,,,,7530.0,Heizöl,864.0,Kantonale Daten/Gebäudeprogramm,7630.0,Heizkessel (generisch),2024-06-04 00:00:00+00:00,7500.0,Keine,860.0,Gemäss Volkszählung 2000,7600.0,Kein Wärmeerzeuger,2001-11-29 00:00:00+00:00,Gebäude,2026-08-11 00:00:00+00:00
208356,1061.0,15600.0,Luzern,10014634.0,Löwengrube,Löwengrube,12,,,6014,0,Luzern,CH451350703562,1291.0,210.0,,,210.879,2662162.969,1211081.655,0,100216494.0,1.0,2662169.113,1211082.618,1004,bestehend,1020.0,Mit Wohnnutzung,1122.0,Gebäude mit 3+ Whgen,1975.0,,8015.0,1971-1980,,575.0,,,,0.0,6.0,34.0,30.0,1.0,2545.0,7580.0,Fernwärme (generisch),869.0,Gemäss Baubewilligung,7460.0,Wärmetauscher für ein Geb.,2025-04-03 00:00:00+00:00,7500.0,Keine,869.0,Gemäss Baubewilligung,7400.0,Kein Wärmeerzeuger,2025-04-03 00:00:00+00:00,7580.0,Fernwärme (generisch),869.0,Gemäss Baubewilligung,7660.0,Wärmetauscher,2025-04-03 00:00:00+00:00,7500.0,Keine,869.0,Gemäss Baubewilligung,7600.0,Kein Wärmeerzeuger,2025-04-03 00:00:00+00:00,Gebäude,2026-08-11 00:00:00+00:00
208357,1061.0,15600.0,Luzern,10014634.0,Löwengrube,Löwengrube,10,,,6014,0,Luzern,CH443550701356,1290.0,210.0,,,210.878,2662190.188,1211114.171,0,100216495.0,1.0,2662183.828,1211115.804,1004,bestehend,1020.0,Mit Wohnnutzung,1122.0,Gebäude mit 3+ Whgen,1975.0,,8015.0,1971-1980,,395.0,,,,0.0,7.0,26.0,24.0,,2060.0,7580.0,Fernwärme (generisch),869.0,Gemäss Baubewilligung,7460.0,Wärmetauscher für ein Geb.,2025-04-03 00:00:00+00:00,7500.0,Keine,869.0,Gemäss Baubewilligung,7400.0,Kein Wärmeerzeuger,2025-04-03 00:00:00+00:00,7580.0,Fernwärme (generisch),869.0,Gemäss Baubewilligung,7660.0,Wärmetauscher,2025-04-03 00:00:00+00:00,7500.0,Keine,869.0,Gemäss Baubewilligung,7600.0,Kein Wärmeerzeuger,2025-04-03 00:00:00+00:00,Gebäude,2026-08-11 00:00:00+00:00
208362,1061.0,15600.0,Luzern,10014634.0,Löwengrube,Löwengrube,4,,,6014,0,Luzern,CH707035135087,1218.0,210.0,,,210.817,2662225.845,1211190.883,0,100216500.0,1.0,2662229.096,1211193.458,1004,bestehend,1020.0,Mit Wohnnutzung,1122.0,Gebäude mit 3+ Whgen,1975.0,,8015.0,1971-1980,,173.0,,,,0.0,4.0,8.0,,,,7520.0,Gas,869.0,Gemäss Baubewilligung,7431.0,Heizkessel (gen.) für mehr. Geb.,2017-04-03 00:00:00+00:00,,,,,,,,7520.0,Gas,869.0,Gemäss Baubewilligung,7630.0,Heizkessel (generisch),2017-04-03 00:00:00+00:00,,,,,,,,Gebäude,2026-08-11 00:00:00+00:00
208383,1061.0,15600.0,Luzern,10014627.0,Bennenegg,Bennenegg,14,,,6014,0,Luzern,CH573570275079,1670.0,210.0,,,210.893,2662218.253,1211265.692,0,100216318.0,1.0,2662220.464,1211268.67,1004,bestehend,1020.0,Mit Wohnnutzung,1110.0,Gebäude mit 1 Wohnung,1975.0,,8015.0,1971-1980,,74.0,,,,0.0,3.0,1.0,,,,7520.0,Gas,870.0,Gemäss Versorgungswerk,7430.0,Heizkessel (gene.) für ein Geb.,2024-06-04 00:00:00+00:00,,,,,,,,7520.0,Gas,855.0,Gemäss Feuerungskontrolle,7630.0,Heizkessel (generisch),2024-06-04 00:00:00+00:00,7500.0,Keine,860.0,Gemäss Volkszählung 2000,7600.0,Kein Wärmeerzeuger,2001-11-29 00:00:00+00:00,Gebäude,2026-08-11 00:00:00+00:00
